County,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+
Adams County,138,272,218,91,25
Asotin County,6,18,21,16,2
Benton County,580,1846,1164,530,205
Chelan County,286,758,549,167,36
Clallam County,54,93,40,23,5
Clark County,323,898,718,373,116
Columbia County,4,2,5,3,0
Cowlitz County,94,232,173,66,9
Douglas County,226,464,362,96,19
Ferry County,7,6,9,7,0
Franklin County,615,1653,1340,437,66
Garfield County,1,5,1,3,0
Grant County,428,1161,735,242,44
Grays Harbor County,58,138,95,46,18
Island County,18,75,76,67,42
Jefferson County,9,16,12,30,4
King County,2619,8064,5862,3133,1178
Kitsap County,140,456,310,166,32
Kittitas County,52,216,98,71,52
Klickitat County,35,66,52,28,6
Lewis County,54,177,131,47,20
Lincoln County,7,9,9,11,0
Mason County,66,139,96,44,9
Okanogan County,179,407,295,117,6
Pacific County,13,18,18,23,5
Pend Oreille County,11,17,15,12,1
Pierce County,815,2950,2201,1041,300
San Juan County,2,5,14,6,2
Skagit County,160,375,310,167,50
Skamania County,11,13,21,12,3
Snohomish County,795,2367,1982,1018,364
Spokane County,759,2454,1514,779,314
Stevens County,24,30,50,26,3
Thurston County,146,357,304,156,30
Unassigned,33,167,70,11,6
Wahkiakum County,0,0,4,2,0
Walla Walla County,98,316,287,96,27
Whatcom County,223,443,286,163,85
Whitman County,301,641,42,20,3
Yakima County,1533,4515,3275,1388,440
